# Please cite this paper in any communication about any use of Correct@TDS : 
#  Coming soon...
#  Average over 10000 waveforms. Timestamp: unknown
#  timeaxis (ps) 	 E-field
-7.500786770965326014e+02	-4.769576533780190276e-04
-7.500453440489991408e+02	-5.508866273058392424e-05
-7.500120110014656802e+02	-3.328128773755373326e-04
-7.499786779539323334e+02	-7.863683351198500187e-05
-7.499453449063988728e+02	-1.710638141222439290e-04
-7.499120118588654123e+02	-5.621020982321733921e-05
-7.498786788113319517e+02	-1.331023431254152749e-04
-7.498453457637984911e+02	-1.525164019266907123e-05
-7.498120127162650306e+02	-1.248028079296981075e-04
-7.497786796687316837e+02	-5.673256106002055768e-05
-7.497453466211982231e+02	-1.242705606862590868e-04
-7.497120135736647626e+02	-4.187781737710175891e-05
-7.496786805261313020e+02	-5.453985173043969081e-05
-7.496453474785978415e+02	2.430548220275960652e-05
-7.496120144310643809e+02	2.061645822042298406e-05
-7.495786813835310340e+02	5.049069404825377074e-05
-7.495453483359975735e+02	4.149785617182713267e-05
-7.495120152884641129e+02	7.820206768846246824e-05
-7.494786822409306524e+02	7.268327743896936283e-05
-7.494453491933971918e+02	1.053412186440573473e-04
-7.494120161458637313e+02	7.718021822521128775e-05
-7.493786830983303844e+02	1.063578645513164135e-04
-7.493453500507969238e+02	7.517161805145712919e-05
-7.493120170032634633e+02	9.984227280711439315e-05
-7.492786839557300027e+02	6.257639820869533920e-05
-7.492453509081965422e+02	1.428773856353023584e-04
-7.492120178606630816e+02	1.397069724100572820e-04
-7.491786848131297347e+02	1.952823385883702774e-04
-7.491453517655962742e+02	1.694845171826375285e-04
-7.491120187180628136e+02	1.754513383729167336e-04
-7.490786856705293530e+02	1.905302639685109564e-04
-7.490453526229958925e+02	2.101764598714622961e-04
-7.490120195754624319e+02	2.019951723172187417e-04
-7.489786865279290851e+02	2.066442536017272600e-04
-7.489453534803956245e+02	1.642613095586498910e-04
-7.489120204328621639e+02	1.790428499198041840e-04
-7.488786873853287034e+02	1.875552130355497883e-04
-7.488453543377952428e+02	2.218056178948202652e-04
-7.488120212902618960e+02	2.598263695559506221e-04
-7.487786882427284354e+02	2.247676397038939804e-04
-7.487453551951949748e+02	2.718063894918186594e-04
-7.487120221476615143e+02	2.889571050233164374e-04
-7.486786891001280537e+02	3.046686083031359079e-04
