# Please cite this paper in any communication about any use of Correct@TDS : 
#  Coming soon...
#  Average over 10000 waveforms. Timestamp: unknown
#  timeaxis (ps) 	 E-field
-7.500786770965326014e+02	1.264944456802841264e-03
-7.500453440489991408e+02	1.225860090374865851e-03
-7.500120110014656802e+02	1.205697416058057947e-03
-7.499786779539323334e+02	9.680769429749989810e-04
-7.499453449063988728e+02	8.070353350920781094e-04
-7.499120118588654123e+02	6.467945315466191265e-04
-7.498786788113319517e+02	7.485242932242856502e-04
-7.498453457637984911e+02	5.910848210439592415e-04
-7.498120127162650306e+02	6.133572203045778871e-04
-7.497786796687316837e+02	6.338413055254785112e-04
-7.497453466211982231e+02	5.894701783436027227e-04
-7.497120135736647626e+02	5.977148691801558583e-04
-7.496786805261313020e+02	4.977317438994122937e-04
-7.496453474785978415e+02	4.509135798249588769e-04
-7.496120144310643809e+02	4.985526675008461342e-04
-7.495786813835310340e+02	5.138292127761258637e-04
-7.495453483359975735e+02	4.510140861633269230e-04
-7.495120152884641129e+02	4.617829494433622461e-04
-7.494786822409306524e+02	4.116429025420781157e-04
-7.494453491933971918e+02	4.677984666530736685e-04
-7.494120161458637313e+02	3.734068929586250207e-04
-7.493786830983303844e+02	3.650221167628916216e-04
-7.493453500507969238e+02	3.717418395506548847e-04
-7.493120170032634633e+02	3.770887223246516219e-04
-7.492786839557300027e+02	4.248603167534129900e-04
-7.492453509081965422e+02	3.361209669771591797e-04
-7.492120178606630816e+02	4.027790448354346005e-04
-7.491786848131297347e+02	3.732113568847092054e-04
-7.491453517655962742e+02	3.148788918256834957e-04
-7.491120187180628136e+02	3.082051627401277238e-04
-7.490786856705293530e+02	3.871090505270601933e-04
-7.490453526229958925e+02	3.973190188531893906e-04
-7.490120195754624319e+02	3.477077316286011780e-04
-7.489786865279290851e+02	4.098248412611531720e-04
-7.489453534803956245e+02	3.895743482481593754e-04
-7.489120204328621639e+02	4.256417225332175956e-04
-7.488786873853287034e+02	3.845681818339420090e-04
-7.488453543377952428e+02	3.961606134690838564e-04
-7.488120212902618960e+02	4.055665750616066229e-04
-7.487786882427284354e+02	3.401404584035863632e-04
-7.487453551951949748e+02	3.658773286146287476e-04
-7.487120221476615143e+02	3.699396125087538504e-04
-7.486786891001280537e+02	3.440980490901932119e-04
-7.486453560525945932e+02	3.459248969599535263e-04
-7.486120230050612463e+02	3.149552060024633066e-04
-7.485786899575277857e+02	4.211812764842438298e-04
-7.485453569099943252e+02	3.936531941634582540e-04
-7.485120238624608646e+02	3.594566361171807082e-04
-7.484786908149274041e+02	3.952201997478136134e-04
-7.484453577673939435e+02	3.379911619190263607e-04
-7.484120247198605966e+02	3.636477279391450343e-04
-7.483786916723271361e+02	3.927234473262014580e-04
-7.483453586247936755e+02	3.634209270828397367e-04
-7.483120255772602150e+02	3.851816604071642953e-04
-7.482786925297267544e+02	4.040429967333001898e-04
