# Please cite this paper in any communication about any use of Correct@TDS : 
#  Coming soon...
#  Average over 10000 waveforms. Timestamp: unknown
#  timeaxis (ps) 	 E-field
-7.500786770965326014e+02	-4.113078668758750355e-05
-7.500453440489991408e+02	-7.622927633299848046e-05
-7.500120110014656802e+02	-4.847798182413589881e-05
-7.499786779539323334e+02	-7.800925397063529845e-05
-7.499453449063988728e+02	-1.098111711984794747e-04
-7.499120118588654123e+02	-1.058481068190772587e-04
-7.498786788113319517e+02	-1.004404989588751195e-04
-7.498453457637984911e+02	-1.088896717647691305e-04
-7.498120127162650306e+02	-7.465485721810660453e-05
-7.497786796687316837e+02	-9.869546395999740415e-05
-7.497453466211982231e+02	-4.487766443570679611e-05
-7.497120135736647626e+02	-4.162647539466305210e-05
-7.496786805261313020e+02	-3.518839653867663958e-05
-7.496453474785978415e+02	-2.135638007318173200e-05
-7.496120144310643809e+02	-5.703623483556087619e-05
-7.495786813835310340e+02	-4.978265690257230796e-05
-7.495453483359975735e+02	-5.732017007041951905e-05
-7.495120152884641129e+02	-5.917182789396343320e-05
-7.494786822409306524e+02	-2.305373527293172361e-05
-7.494453491933971918e+02	-2.268014341767573172e-05
-7.494120161458637313e+02	-1.089051936072786652e-05
-7.493786830983303844e+02	1.681324262353284677e-05
-7.493453500507969238e+02	6.800671580589105433e-05
-7.493120170032634633e+02	9.209528424426890146e-05
-7.492786839557300027e+02	1.370460562379553077e-04
-7.492453509081965422e+02	1.910698422462782646e-04
-7.492120178606630816e+02	1.955225220388868664e-04
-7.491786848131297347e+02	1.847996941703170979e-04
-7.491453517655962742e+02	1.979136518176541327e-04
-7.491120187180628136e+02	1.685399956242679192e-04
-7.490786856705293530e+02	1.665198011831630080e-04
-7.490453526229958925e+02	1.464128313305235792e-04
-7.490120195754624319e+02	1.606617732322492920e-04
-7.489786865279290851e+02	1.653126050597235482e-04
-7.489453534803956245e+02	1.939283191719938786e-04
-7.489120204328621639e+02	2.165231758298488771e-04
-7.488786873853287034e+02	2.634830997660277531e-04
-7.488453543377952428e+02	2.845381862403026721e-04
-7.488120212902618960e+02	3.049724612042660011e-04
-7.487786882427284354e+02	3.291878837505214845e-04
-7.487453551951949748e+02	3.047707630292848273e-04
-7.487120221476615143e+02	2.898482037995373526e-04
-7.486786891001280537e+02	2.692410328489443011e-04
-7.486453560525945932e+02	2.541552491659678013e-04
-7.486120230050612463e+02	2.306810188621423398e-04
-7.485786899575277857e+02	2.306409593476848978e-04
-7.485453569099943252e+02	2.141273900559797756e-04
-7.485120238624608646e+02	2.136219477431219578e-04
-7.484786908149274041e+02	2.149309533022388018e-04
-7.484453577673939435e+02	2.482582029455056771e-04
-7.484120247198605966e+02	2.732768231702207120e-04
-7.483786916723271361e+02	3.046311402051226627e-04
-7.483453586247936755e+02	3.170443144388746730e-04
-7.483120255772602150e+02	3.270510690674325151e-04
-7.482786925297267544e+02	3.640685759605976810e-04
-7.482453594821932938e+02	3.548486338360013728e-04
-7.482120264346599470e+02	3.352541359999050758e-04
-7.481786933871264864e+02	3.335605907300838793e-04
-7.481453603395930259e+02	3.294971124123140965e-04
-7.481120272920595653e+02	3.178689336981802005e-04
-7.480786942445261047e+02	2.949730647197078607e-04
-7.480453611969926442e+02	3.040806922430884561e-04
-7.480120281494592973e+02	3.030769614413547489e-04
-7.479786951019258368e+02	3.375583067275877286e-04
-7.479453620543923762e+02	3.809451809881932291e-04
-7.479120290068589156e+02	4.400539271824721122e-04
-7.478786959593254551e+02	4.921577930335102906e-04
-7.478453629117919945e+02	5.545481008329306320e-04
-7.478120298642586476e+02	6.036833110964423760e-04
-7.477786968167251871e+02	6.333535900723269571e-04
-7.477453637691917265e+02	7.012807135192692569e-04
-7.477120307216582660e+02	7.210382907120168683e-04
-7.476786976741248054e+02	7.552780064677335359e-04
-7.476453646265913449e+02	7.734941728981340739e-04
-7.476120315790579980e+02	7.838213939669834689e-04
-7.475786985315245374e+02	8.009302394261851943e-04
-7.475453654839910769e+02	7.766030090775999503e-04
-7.475120324364576163e+02	7.999979839964823768e-04
-7.474786993889241558e+02	8.345186416144178675e-04
-7.474453663413908089e+02	8.378510521830292990e-04
-7.474120332938573483e+02	8.455332799093474199e-04
